model,accuracy,precision,recall,f1,roc_auc
XGBoost,0.9989631699950412,0.9902186421173763,0.9965257672264042,0.9933621933621933,0.9999916778741735
Extra Trees,0.9987828517333093,0.9873853211009175,0.9971048060220035,0.9922212618841832,0.9999941122375106
Random Forest,0.9987828517333093,0.9873853211009175,0.9971048060220035,0.9922212618841832,0.9999933196540985
Gradient Boosting,0.9970698282468557,0.9797921478060047,0.9826288361320209,0.9812084417461694,0.9991050176417745
Logistic Regression,0.9636207906955777,0.7019315188762072,0.925883034163289,0.798501872659176,0.9839848897369281
